id,age,gender,budget,travelStyle,preferredCompanion,season,spontaneity,connectWithOthers
68066ba0d66cca37e418afe1,21,Male,Medium,Cultural,Anyone,Summer,Spontaneous,Yes
680708c91fd3dd809fb863f4,21,Female,Low,Luxury,Anyone,Monsoon,Planned,Yes
68070b0b1fd3dd809fb86407,22,Female,Medium,Luxury,Large Group,Winter,Planned,Yes
68072d721fd3dd809fb8683d,21,Female,Medium,Adventure,Small Group,Monsoon,Spontaneous,Yes
680733591fd3dd809fb86865,21,Male,Medium,Luxury,Large Group,Monsoon,Spontaneous,Yes
680734ce1fd3dd809fb86879,22,Male,Low,Adventure,Same Gender,Monsoon,,Yes
6807367d1fd3dd809fb86887,23,Male,High,Luxury,Large Group,Summer,Spontaneous,Yes
680742651fd3dd809fb86895,20,Female,Medium,Adventure,Small Group,Winter,,Yes
680743811fd3dd809fb868a3,22,Female,High,Adventure,Small Group,Winter,Spontaneous,Yes
680744ea1fd3dd809fb868ad,21,Female,Medium,Adventure,Large Group,Monsoon,Planned,Yes
6807475a1fd3dd809fb868cc,22,Male,High,Adventure,Small Group,Winter,Spontaneous,Yes
680748c71fd3dd809fb86901,22,Male,Low,Luxury,Solo,Monsoon,Spontaneous,Yes
68074a4f1fd3dd809fb8690b,21,Female,Medium,Adventure,Same Gender,Monsoon,Spontaneous,Yes
68074c4d1fd3dd809fb86919,,Female,,Cultural,,All Year Round,Spontaneous,Yes
68074eb01fd3dd809fb86929,,Male,,Backpacking,,Summer,Planned,No
680750b11fd3dd809fb86938,,Male,,Adventure,,Summer,Planned,Yes
680752ad1fd3dd809fb869b8,,Female,,Adventure,,Winter,Planned,Yes
680b2f210b8685563fa4fbc6,23,Female,Medium,Adventure,Same Gender,All Year Round,Spontaneous,Yes
680b30ba0b8685563fa4fc84,23,Female,Low,Adventure,Small Group,Monsoon,Spontaneous,Yes
680b38b90b8685563fa4fd84,22,Female,High,Adventure,Anyone,Monsoon,Spontaneous,Yes
680b39940b8685563fa4fdba,19,Female,Medium,Adventure,Large Group,Monsoon,Spontaneous,Yes
680b3cab0b8685563fa4fe4a,23,Female,High,Adventure,Solo,Winter,Spontaneous,Yes
680c89090b8685563fa5003c,,Male,,Backpacking,,Winter,Spontaneous,Yes
680c89b40b8685563fa5004a,22,Male,Medium,Backpacking,Small Group,Summer,Planned,Yes
680c8a6c0b8685563fa50056,23,Female,High,Luxury,Solo,Winter,Spontaneous,Yes
680ca87ee56ba6fa194f6065,23,Female,Medium,Backpacking,Same Gender,Monsoon,,Yes
680ca938e56ba6fa194f606f,22,Female,Medium,Backpacking,Anyone,Winter,Spontaneous,Yes
680caf78e56ba6fa194f6079,24,Male,Medium,Adventure,Large Group,Summer,Spontaneous,Yes
680cb098e56ba6fa194f6087,22,Female,Medium,Luxury,Large Group,Monsoon,Spontaneous,Yes
680cb0f5e56ba6fa194f6091,22,Female,Low,Adventure,Same Gender,Monsoon,Planned,Yes
680cb1d5e56ba6fa194f609f,20,Female,Low,Cultural,Same Gender,Monsoon,Spontaneous,Yes
680cb314e56ba6fa194f60a9,21,Male,High,Luxury,Same Gender,Winter,Spontaneous,Yes
680cb351e56ba6fa194f60b3,21,Male,Medium,Backpacking,Same Gender,Winter,Spontaneous,Yes
680cb5a1e56ba6fa194f60bd,23,Male,High,Adventure,Small Group,Winter,Spontaneous,Yes
680cba07e56ba6fa194f6315,21,Female,Medium,Luxury,Small Group,Summer,Spontaneous,Yes
680d130a224ad67a25cd4756,21,Female,Medium,Luxury,Same Gender,Summer,Planned,Yes
680d1ac5224ad67a25cd4764,22,Male,Low,Backpacking,Anyone,Summer,Planned,Yes
680dc3ca5925f9768f781325,23,Female,Medium,Luxury,Anyone,Summer,Planned,Yes
680dc5eb5925f9768f781331,22,Male,Medium,Backpacking,Same Gender,Summer,Spontaneous,Yes
680dc6965925f9768f78133f,23,Female,Medium,Adventure,Small Group,Winter,Planned,Yes
680dc70a5925f9768f781349,45,Female,Medium,Backpacking,Small Group,Summer,Planned,Yes
680dcc495925f9768f781353,25,Male,Low,Backpacking,Anyone,Summer,Planned,Yes
680f4422a38ba7d1cb840fdd,22,Male,High,Adventure,Anyone,Winter,Spontaneous,Yes
680f458da38ba7d1cb840fe7,19,Female,Medium,Luxury,Solo,Winter,Planned,Yes
680f9ca46cd074d26b6dcbc2,,Male,,Backpacking,,All Year Round,Spontaneous,Yes
680faf2765ebb2351b33c4da,28,Female,Medium,Backpacking,Same Gender,Winter,Spontaneous,Yes
680fb17865ebb2351b33c4ea,23,Male,High,Backpacking,Same Gender,Monsoon,Spontaneous,Yes
680fb1df65ebb2351b33c4f4,20,Female,Medium,Backpacking,Small Group,Winter,Spontaneous,Yes
680fb23e65ebb2351b33c500,30,Male,Medium,Adventure,Small Group,Summer,,Yes
680fb29c65ebb2351b33c50a,25,Male,Medium,Adventure,Small Group,Monsoon,Spontaneous,Yes
680fb37e65ebb2351b33c514,25,Male,Medium,Backpacking,Anyone,Winter,Planned,Yes
680fb3c665ebb2351b33c51e,25,Male,Medium,Cultural,Same Gender,All Year Round,Planned,Yes
680fb47565ebb2351b33c528,19,Male,Medium,Luxury,Small Group,Summer,Spontaneous,Yes
680fb4c765ebb2351b33c532,40,Male,Low,Cultural,Small Group,Monsoon,Spontaneous,
680fb5fa65ebb2351b33c53c,23,Female,High,Adventure,Solo,All Year Round,Planned,Yes
680fb6a065ebb2351b33c546,30,Male,High,Adventure,Large Group,Monsoon,Spontaneous,Yes
680fbb3f65ebb2351b33c550,23,Male,Medium,Cultural,Same Gender,All Year Round,Spontaneous,Yes
680fbcc265ebb2351b33c55a,23,Female,Low,Adventure,Anyone,Monsoon,Planned,Yes
680fbd9865ebb2351b33c564,22,Male,Low,Adventure,Small Group,All Year Round,Spontaneous,Yes
680fbeb065ebb2351b33c56e,21,Male,Medium,Luxury,Solo,All Year Round,Planned,Yes
680fc04965ebb2351b33c578,23,Male,Medium,Adventure,Solo,Monsoon,Spontaneous,Yes
681040ff90a1520240713d16,20,Male,Medium,Backpacking,Anyone,All Year Round,Spontaneous,No
